행정구역,2024년 4분기_전체,2024년 4분기_1층,2024년 4분기_1층 외,,평당 임대료 / 원
서울시 전체,137164,153199,121129,,
종로구,188914,222029,155799,,
중구,264923,276655,253191,,
용산구,120697,138146,103249,,
성동구,133773,148202,119344,,
광진구,107476,132109,82843,,
동대문구,95424,115887,74962,,
중랑구,84492,105420,63563,,
성북구,104950,126281,83619,,
강북구,100569,108479,92659,,
도봉구,98219,115414,81023,,
노원구,125841,165247,86434,,
은평구,102342,119952,84732,,
서대문구,120123,127904,112341,,
마포구,145210,170141,120279,,
양천구,110045,133152,86938,,
강서구,130283,154107,106459,,
구로구,143653,171356,115949,,
금천구,122249,137100,107398,,
영등포구,124336,137502,111170,,
동작구,131339,156082,106595,,
관악구,121066,138647,103485,,
서초구,142364,164382,124775,,
강남구,197473,224285,170660,,
송파구,132591,155179,110003,,
강동구,118656,143714,93598,,