행정구역,등록동물수(마리),총가구수 대비 반려견양육가구비율(%),평당 임대료 (원),2024년 4분기_전체,2024년 4분기_1층,2024년 4분기_1층 외
강서구,37800,14.9,,130283,154107,106459
양천구,26850,15.9,,110045,133152,86938
구로구,21967,13,,143653,171356,115949
금천구,14624,13.2,,122249,137100,107398
영등포구,21351,12.4,,124336,137502,111170
동작구,21093,12.2,,131339,156082,106595
관악구,29094,11.2,,121066,138647,103485
서초구,26762,17.3,,142364,164382,124775
강남구,39792,18.7,,197473,224285,170660
송파구,38005,14.4,,132591,155179,110003
강동구,28646,15.3,,118656,143714,93598
광진구,22415,14.3,,107476,132109,82843
성동구,18990,15.5,,133773,148202,119344
동대문구,21151,13.6,,95424,115887,74962
중랑구,26212,15.4,,84492,105420,63563
성북구,27041,14.7,,104950,126281,83619
강북구,21047,16,,100569,108479,92659
도봉구,22423,17.4,,98219,115414,81023
노원구,30567,14.9,,125841,165247,86434
은평구,31725,16.2,,102342,119952,84732
서대문구,19937,14.7,,120123,127904,112341
마포구,25604,15.5,,145210,170141,120279
용산구,19468,19.8,,120697,138146,103249
중구,8823,15.7,,264923,276655,253191
종로구,10698,16.6,,188914,222029,155799